Endpoint Name	Endpoint Type	Endpoint Status	Operating System	Agent Version	IP Address	IPv6 Address	User	Endpoint Alias	Last Seen	Content Version	Assigned Prevention Policy	Assigned Extensions Policy	Tags	Active Directory	Last Upgrade Status	Last Upgrade Status Time	Last Upgrade Failure Reason	Last Upgrade Source	Linux Operation Mode	IT Metrics Collection	Last Certificate Enforcement Fallback	Cluster Name	Cloud Provider	Cloud Region	Cloud Provider Account ID	Cloud Instance ID
0312-4-SBP148	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.148		N/A\HP		Oct 15th 2025 11:18:11	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-4-SBP48	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.85		N/A\RTARF		Oct 15th 2025 11:14:35	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINANCE0020K	Workstation	Connected	Windows 11	8.9.0.14028	10.142.20.216		N/A\hp		Oct 15th 2025 11:06:38	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINANCEx02B	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.23		N/A\0312 - FIN		Oct 15th 2025 10:57:03	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINANCEx0NTS1	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.15		N/A\hp		Oct 15th 2025 11:16:11	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINxP	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.239.24				Oct 14th 2025 15:45:29	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINxR	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.22		N/A\RTARF		Oct 15th 2025 11:15:07	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
a	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.19.246		N/A\User		Oct 14th 2025 15:21:55	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
A-Finance-OIA	Workstation	Disconnected	Windows 10	8.9.0.14028	10.142.16.168		N/A\OIA-Laptop		Oct 6th 2025 11:10:41	1970-24134	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['OIA-B5', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Admin	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.239.47				Oct 14th 2025 18:25:54	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
